MAC #,incipit,repository,ms number,Notes and alternate forms of incipit by a few letters
1-A,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ወዘከመ፡ ተናገረቶ፡ ወአጽነዐቶ፡ እምደካመ፡ ፍኖት። ይቤ፡ ቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ስምዑ፡ አበውየ፡ ወአኀውየ፡ ዘእነግረክሙ፡ በፍርሃት፡ ወበረዓድ፡ ወበሃይማኖት፡ ርትዕት,EMML,6938,
1-B,ወበይእቲ፡ ዕለት፡ ሞተ፡ ስምዖን፡ ካህን፡ አረጋዊ። ወነበረ፡ ሄሮድስ፡ ፪፡ ዓመተ፡ እንዘ፡ ይጸንሖሙ፡ ለሰብአ፡ ሰገል,EMML,1606,
1-C,ወእምዝ፡ በጽሐ፡ ሀገረ፡ ሳምኖን፡ ውስተ፡ ቀዳሚ፡ አንቀጽ፡ ማኅፈድ፡ በ፬፡ መዓዝኒሁ፡ ወይትሌዓል፡ እምኵሉ፡ ሀገር,EMML,1606,
2,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ከመዝ፡ አስተርአዮ፡ ሰይጣን፡ ለሄሮድስ፡ ቃለ፡ በቃል,EMML,6938,
3,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ይነውም፡ ዮሴፍ፡ በሌሊት፡ አስተርአዮ፡ መልአከ፡ እግዚአብሔር,EMML,6938,
4,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገር፡ ዘሳሙ፡ ዲያቆን፡ ውእቱ፡ ዘስሙ፡ ሚካኤል፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ብዙኀ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ፡ ዐጣር፡ ዘውእቱ፡ ሠያጤ፡ እምኵሉ፡ መባልዕት,EMML,2058,
5,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አፍርንጊ፡ እምአድያመ፡ አፍራንሳ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. እምንእሱ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ። ወሶበ፡ በጽሐ፡ አምጣነ፡ አውስቦ፡ አስተዋሰብዎ፡ አበዊሁ፡ ወለተ፡ እምአውላደ፡ አፍርንጊ,EMML,6938,
6,ወኮነ፡ በ፲፻፡ ወ፻፡ ወ፳፡ ዓመተ፡ ሰማዕታት፡ ንጹሓን፡ በመዋዕሊሁ፡ ለአብ፡ እግዚእ፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ማቴዎስ፡ ወኮነ፡ በሀገረ፡ ምስር፡ ረሓብ፡ ዐቢይ,EMML,6938,
7,ወሀሎ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ በስመ፡ እግዝእትነ፡…. ወኮነ፡ ውስተ፡ ዛቲ፡ ቅድስት፡ ቤተ፡ ክርስቲያን፡ ሥዕል፡ ዐቢይ፡ ወመንክር,EMML,6938,
7,ወሀሎ፡ አሐዱ፡ ብእሲ፡ መነኮስ፡ በደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወያነብብ፡ ወትረ፡ ተአምኆተ፡ መልአክ፡ ሌሊተ፡ ወመዐልተ። ወዝንቱሰ፡ ብእሲ፡ ኢይጸውም፡ ወኢይጼሊ፡ ወይትሜሰል፡ ከመ፡ አብድ፡ ወእንቡዝ,EMML,2378,
8,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ሰብእ፡ መነኮሳት፡ እምደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ለፈጽሞ፡ መፍቅደ፡ ደብር,EMML,6938,
9,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ቀልሞን፡ ዘቅዱስ፡ አባ፡ ሳሙኤል፡ ብእሲ፡ ዘይሰመይ፡ ያዕቆብ፡ ሐፂር፡ ዘአድኀነቶ፡ እግዝእትነ፡…. እምማእሰረ፡ ዐረብ,EMML,6938,
10,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ ስዒድ፡ በደብረ፡ እንጽና፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወእስከ፡ ይእዜ፡ ሀሎ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ የአምሮ፡ ወይሰመይ፡ ምኔተ፡ አቡ፡ ንዕናእ,EMML,6938,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ ስዒድ፡ በደብረ፡ እንጽና፡ (በ)ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወእስከ፡ ይእዜ፡ ሀሎ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ የአምሮ፡ ወይሰመይ፡ ምኔተ፡ አቡ፡ ንዕናእ
11,ወኮነ፡ በመዋዕለ፡ እግዚእ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ሰማንያ፡ ወሰመንቱ፡ እምሊቃነ፡ ጳጳሳት፡ ዘእለእስክንድርያ፡ ብእሲ፡ ሊቅ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ ሳሙኤል፡ ዘቀልሞን፡ ዘስሙ፡ ሰሎሞን,EMML,6938,
12,ወኮነ፡ በመዋዕለ፡ አብ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ወልደ፡ ተሪክ፡ ወበጽሖ፡ ለዝንቱ፡ ሊቀ፡ ጳጳሳት፡ በአስ፡ ወጸልእ፡ ምስለ፡ ሕዝቡ,EMML,6938,
13,ተብህለ፡ ከመ፡ ሀሎ፡ በውስተ፡ ቤተ፡ ክርስቲያን፡ ዘጥልጥልያ፡ ኤጲስ፡ ቆጶስ፡ ዘስሙ፡ ደቅስዮስ፡ ወኮነ፡ ብእሴ፡ ቡሩከ፡ ወኄረ፡ ወፈራሄ፡ እግዚአብሔር,EMML,2275,
14,ስምዑ፡ አበውየ፡ ወአኀውየ፡ ከመ፡ ንንግርክሙ፡ ተአምረ፡ ዐባየ፡ ዘኮነ፡ ለእግዝእትነ፡…. ዘነገሩ፡ አበው፡ ቅዱሳን፡ ሰማዕትየ፡ እግዚአብሔር፡ ከመ፡ ኢይዌስክ፡ ወኢያነትግ። ይቤሉነ፡ ነበረ፡ በምድረ፡ ሶርያ፡ ብእሲ፡ ለብሓዊ፡ ፈራሄ፡ እግዚአብሔር,EMML,6938,
15,ወሀሎ፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጽዒድ፡ እምሢመተ፡ ኤጲስ፡ ቆጶሳት፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወሀሎ፡ በዛቲ፡ ቤተ፡ ክርስቲያን፡ ብእሲ፡ አምኑት፡ ዘውእቱ፡ ዐቃቤ፡ ቤተ፡ ክርስቲያን,EMML,6938,
16,ወኮነ፡ በደብረ፡ ቀልሞን፡ ወሶበ፡ በዝኀ፡ ተአምሪ፡ ለእግዝእትነ፡…. ዘታስተርኢ፡ ውስተ፡ ሥዕል፡ ዘሀለወት፡ በደብረ፡ ቅዱስ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወፈድፋደሰ፡ ለዐረብ፡ እለ፡ ሀለዉ፡ ዐውዳ,EMML,6938,ወኮነ፡ በደብረ፡ ቀልሞን፡ ወሶበ፡ በዝኀ፡ ተአምሪ(ሃ)፡ ለእግዝእትነ፡…. ዘታስተርኢ፡ ውስተ፡ ሥዕል፡ ዘሀለወት፡ በደብረ፡ ቅዱስ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወፈድፋደሰ፡ ለዐረብ፡ እለ፡ ሀለዉ፡ ዐውዳ
16,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ኀበ፡ ምድረ፡ ሪፍ፡ ሠለስቱ፡ ሰብእ፡ ዐረባውያን፡ እንዘ፡ ምሉእ፡ ማየ፡ ተከዜ፡ ጥቀ,EMML,5520,
17,ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዲያቆን፡ እምሰብአ፡ መርግ፡ ወኬም፡ ወስሙ፡ ንኳል,EMML,6938,
